timestamp,open,high,low,close,volume,datetime
1640991600000,46303.98,46520.13,46132.04,46216.93,985.99762,2021-12-31 23:00:00
1640995200000,46216.93,46731.39,46208.37,46656.13,1503.33095,2022-01-01 00:00:00
1640998800000,46656.14,46949.99,46574.06,46778.14,943.81539,2022-01-01 01:00:00
1641002400000,46778.14,46928.94,46721.96,46811.77,485.1686,2022-01-01 02:00:00
1641006000000,46811.77,46916.63,46760.12,46813.2,562.88971,2022-01-01 03:00:00
1641009600000,46813.21,46887.33,46591.23,46711.05,861.88389,2022-01-01 04:00:00
1641013200000,46711.05,47555.55,46673.94,47192.55,1400.73642,2022-01-01 05:00:00
1641016800000,47192.56,47324.42,46940.0,46979.62,613.97776,2022-01-01 06:00:00
1641020400000,46979.61,47255.85,46864.84,47194.73,646.20081,2022-01-01 07:00:00
1641024000000,47194.73,47344.69,47075.11,47124.82,532.44767,2022-01-01 08:00:00
1641027600000,47124.82,47215.56,46933.58,47143.98,541.32491,2022-01-01 09:00:00
1641031200000,47143.98,47298.75,46715.39,46871.08,923.0176,2022-01-01 10:00:00
1641034800000,46871.09,47007.73,46756.77,46758.87,732.88793,2022-01-01 11:00:00
1641038400000,46758.87,47150.48,46756.3,47074.05,582.15009,2022-01-01 12:00:00
1641042000000,47074.05,47199.67,46935.09,47023.24,454.14412,2022-01-01 13:00:00
1641045600000,47023.24,47100.0,46850.18,46926.22,503.6622,2022-01-01 14:00:00
1641049200000,46920.01,47491.14,46871.69,47219.04,1515.95305,2022-01-01 15:00:00
1641052800000,47219.04,47527.24,47186.07,47268.62,1049.57919,2022-01-01 16:00:00
1641056400000,47268.61,47954.63,47238.81,47754.48,1320.66577,2022-01-01 17:00:00
1641060000000,47754.47,47844.97,47420.0,47560.55,860.76025,2022-01-01 18:00:00
1641063600000,47560.54,47611.84,47292.72,47329.78,830.6716,2022-01-01 19:00:00
1641067200000,47329.79,47559.03,47250.18,47391.82,717.20792,2022-01-01 20:00:00
1641070800000,47391.82,47573.05,47268.79,47319.67,809.21927,2022-01-01 21:00:00
1641074400000,47319.66,47490.98,47222.22,47440.74,466.47861,2022-01-01 22:00:00
1641078000000,47440.74,47814.0,47277.77,47722.65,746.28954,2022-01-01 23:00:00
1641081600000,47722.66,47750.0,47381.12,47625.3,1082.50817,2022-01-02 00:00:00
1641085200000,47625.29,47641.83,47315.38,47377.97,465.7536,2022-01-02 01:00:00
1641088800000,47377.97,47449.56,47275.5,47370.5,452.39245,2022-01-02 02:00:00
1641092400000,47370.49,47467.11,47269.47,47329.47,387.25302,2022-01-02 03:00:00
1641096000000,47329.47,47415.73,46770.23,46910.3,1259.6882,2022-01-02 04:00:00
1641099600000,46910.3,47089.63,46832.08,47081.28,686.20377,2022-01-02 05:00:00
1641103200000,47081.28,47244.0,47011.24,47122.61,528.20197,2022-01-02 06:00:00
1641106800000,47122.6,47300.0,47087.62,47173.45,544.37433,2022-01-02 07:00:00
1641110400000,47173.44,47247.12,46970.05,47222.4,578.28603,2022-01-02 08:00:00
1641114000000,47222.4,47499.45,47144.12,47273.24,792.44368,2022-01-02 09:00:00
1641117600000,47273.23,47348.34,47140.3,47188.89,390.08901,2022-01-02 10:00:00
1641121200000,47188.88,47400.0,47159.57,47235.5,359.02993,2022-01-02 11:00:00
1641124800000,47238.89,47447.0,47013.5,47292.95,798.05773,2022-01-02 12:00:00
1641128400000,47289.67,47300.86,47090.0,47137.35,580.44121,2022-01-02 13:00:00
1641132000000,47137.35,47202.39,47020.0,47112.55,617.66611,2022-01-02 14:00:00
1641135600000,47112.54,47390.0,47071.27,47340.47,784.16369,2022-01-02 15:00:00
1641139200000,47340.47,47886.0,47273.64,47792.3,1367.5695,2022-01-02 16:00:00
1641142800000,47792.29,47990.0,47317.46,47401.14,1440.59237,2022-01-02 17:00:00
1641146400000,47401.14,47401.14,46654.0,47058.12,1852.33799,2022-01-02 18:00:00
1641150000000,47056.43,47217.1,46851.51,46907.68,937.38607,2022-01-02 19:00:00
1641153600000,46907.67,47050.0,46815.17,47007.14,570.22257,2022-01-02 20:00:00
1641157200000,47007.14,47187.98,46913.27,47018.03,432.59568,2022-01-02 21:00:00
1641160800000,47017.98,47398.99,47014.84,47255.38,683.72196,2022-01-02 22:00:00
1641164400000,47255.39,47469.34,47255.38,47286.18,749.48136,2022-01-02 23:00:00
1641168000000,47286.18,47289.11,47050.0,47050.08,734.11794,2022-01-03 00:00:00
1641171600000,47050.09,47138.78,46950.0,47116.71,628.0558,2022-01-03 01:00:00
1641175200000,47116.22,47116.71,46858.44,46999.98,781.70714,2022-01-03 02:00:00
1641178800000,46999.98,47084.8,46722.39,46793.26,850.43854,2022-01-03 03:00:00
1641182400000,46793.27,46944.77,46750.0,46822.26,688.49875,2022-01-03 04:00:00
1641186000000,46822.26,47211.09,46750.13,47078.64,918.62173,2022-01-03 05:00:00
1641189600000,47078.64,47100.0,46877.84,46923.75,596.63069,2022-01-03 06:00:00
1641193200000,46923.75,47080.0,46852.38,47051.37,635.22586,2022-01-03 07:00:00
1641196800000,47051.36,47135.97,46922.27,46978.82,684.64114,2022-01-03 08:00:00
1641200400000,46978.81,47109.25,46778.0,46984.55,987.07117,2022-01-03 09:00:00
1641204000000,46984.56,47251.19,46981.84,47126.02,1138.98932,2022-01-03 10:00:00
1641207600000,47126.02,47431.67,47125.48,47378.0,1451.6891,2022-01-03 11:00:00
1641211200000,47378.0,47570.0,47175.01,47194.39,1183.63545,2022-01-03 12:00:00
1641214800000,47194.39,47495.96,47127.51,47153.5,813.83783,2022-01-03 13:00:00
1641218400000,47153.5,47285.39,46765.0,46874.53,1711.43,2022-01-03 14:00:00
1641222000000,46874.53,47018.0,46575.25,46693.45,1754.81723,2022-01-03 15:00:00
1641225600000,46693.44,46780.0,46263.29,46482.34,3415.75302,2022-01-03 16:00:00
1641229200000,46482.34,46790.0,46411.78,46577.15,1121.75227,2022-01-03 17:00:00
1641232800000,46577.16,46740.96,46412.99,46472.73,662.25,2022-01-03 18:00:00
1641236400000,46475.6,46645.34,46360.0,46360.01,661.7066,2022-01-03 19:00:00
1641240000000,46360.01,46413.47,45696.0,45922.0,3127.50381,2022-01-03 20:00:00
1641243600000,45922.01,46260.44,45811.87,45979.01,1055.66747,2022-01-03 21:00:00
1641247200000,45979.01,46439.97,45961.59,46217.9,1002.70049,2022-01-03 22:00:00
1641250800000,46217.91,46576.94,46170.64,46446.1,1055.33575,2022-01-03 23:00:00
1641254400000,46446.1,46549.19,46150.0,46244.37,1055.75335,2022-01-04 00:00:00
1641258000000,46244.37,46404.94,46040.79,46054.99,771.65428,2022-01-04 01:00:00
1641261600000,46054.99,46268.72,45934.5,46103.36,1021.46917,2022-01-04 02:00:00
1641265200000,46103.36,46383.77,46001.23,46313.97,755.88587,2022-01-04 03:00:00
1641268800000,46313.96,46411.12,45996.26,46100.14,2070.6589,2022-01-04 04:00:00
1641272400000,46100.14,46292.15,46016.24,46151.66,869.60169,2022-01-04 05:00:00
1641276000000,46148.23,46390.04,46058.51,46367.53,1240.05303,2022-01-04 06:00:00
1641279600000,46367.53,46600.21,46322.09,46550.0,1554.0381,2022-01-04 07:00:00
1641283200000,46549.99,46682.06,46385.61,46489.73,1316.31063,2022-01-04 08:00:00
1641286800000,46489.72,46599.53,46300.0,46356.21,856.18802,2022-01-04 09:00:00
1641290400000,46356.21,46772.41,46300.0,46625.37,1162.38531,2022-01-04 10:00:00
1641294000000,46625.37,46765.05,46616.46,46733.77,1351.64824,2022-01-04 11:00:00
1641297600000,46733.78,46763.0,46479.25,46641.53,897.32283,2022-01-04 12:00:00
1641301200000,46641.52,47069.01,46410.0,46955.22,1511.87787,2022-01-04 13:00:00
1641304800000,46955.22,47500.1,46805.54,47333.38,3051.43768,2022-01-04 14:00:00
1641308400000,47336.98,47557.54,46850.05,46925.35,2605.26496,2022-01-04 15:00:00
1641312000000,46925.34,46925.35,46650.0,46767.27,1774.71297,2022-01-04 16:00:00
1641315600000,46767.28,46984.99,46522.91,46555.01,782.53703,2022-01-04 17:00:00
1641319200000,46555.0,46719.78,45500.0,45750.0,4580.41041,2022-01-04 18:00:00
1641322800000,45750.01,46454.86,45580.99,46052.36,2717.79608,2022-01-04 19:00:00
1641326400000,46052.35,46428.27,45957.52,46264.92,1111.32358,2022-01-04 20:00:00
1641330000000,46264.92,46322.89,46026.75,46221.89,713.51555,2022-01-04 21:00:00
1641333600000,46221.89,46262.39,45977.78,46159.91,671.315,2022-01-04 22:00:00
1641337200000,46159.91,46159.91,45760.05,45832.01,1048.25305,2022-01-04 23:00:00
1641340800000,45832.01,46298.56,45722.21,46271.57,1006.79621,2022-01-05 00:00:00
1641344400000,46271.56,46333.22,46111.5,46111.5,726.20925,2022-01-05 01:00:00
1641348000000,46111.5,46390.15,46111.5,46296.95,639.23432,2022-01-05 02:00:00
1641351600000,46296.96,46549.0,46296.95,46422.55,662.40091,2022-01-05 03:00:00
1641355200000,46422.56,46527.39,46350.65,46414.47,508.72042,2022-01-05 04:00:00
1641358800000,46419.0,46419.0,46246.01,46302.8,494.64292,2022-01-05 05:00:00
1641362400000,46302.79,46466.65,46251.1,46450.0,608.83518,2022-01-05 06:00:00
1641366000000,46450.0,46490.2,46333.78,46407.51,572.8358,2022-01-05 07:00:00
1641369600000,46407.5,46681.61,46250.49,46642.07,961.44434,2022-01-05 08:00:00
1641373200000,46636.78,46949.0,46575.01,46858.94,1536.64847,2022-01-05 09:00:00
1641376800000,46858.93,47070.0,46697.79,46818.5,1629.77569,2022-01-05 10:00:00
1641380400000,46818.5,46869.25,46110.0,46270.99,1495.93677,2022-01-05 11:00:00
1641384000000,46271.0,46348.2,45803.67,46229.99,1882.06245,2022-01-05 12:00:00
1641387600000,46229.99,46466.66,46112.59,46440.01,1021.81875,2022-01-05 13:00:00
1641391200000,46440.0,46822.17,46150.35,46689.52,1923.98717,2022-01-05 14:00:00
1641394800000,46689.52,46822.16,46368.63,46622.53,1228.3942,2022-01-05 15:00:00
1641398400000,46622.53,46674.37,46282.05,46301.62,1014.13701,2022-01-05 16:00:00
1641402000000,46301.62,46469.66,46001.0,46010.72,1192.45603,2022-01-05 17:00:00
1641405600000,46010.72,46365.68,45550.0,45919.92,3668.50105,2022-01-05 18:00:00
1641409200000,45919.93,46118.85,44500.0,44685.93,7383.66525,2022-01-05 19:00:00
1641412800000,44685.93,44847.99,43722.54,43967.01,8054.81116,2022-01-05 20:00:00
1641416400000,43967.01,44331.42,43422.54,43606.37,3844.19955,2022-01-05 21:00:00
1641420000000,43602.49,43815.2,42500.0,43437.05,6856.6407,2022-01-05 22:00:00
1641423600000,43437.04,43709.12,43212.0,43451.13,2869.96497,2022-01-05 23:00:00
1641427200000,43451.14,43772.41,43261.62,43680.94,2221.24911,2022-01-06 00:00:00
1641430800000,43680.94,43816.0,43306.48,43542.69,1908.16444,2022-01-06 01:00:00
1641434400000,43542.69,43618.34,43150.05,43259.54,1450.03547,2022-01-06 02:00:00
1641438000000,43259.55,43310.69,42803.37,42835.0,2327.84721,2022-01-06 03:00:00
1641441600000,42835.0,43159.17,42600.05,43029.73,3057.2784,2022-01-06 04:00:00
1641445200000,43029.73,43246.37,42800.0,43050.01,1649.15193,2022-01-06 05:00:00
1641448800000,43050.0,43231.85,42902.65,43102.28,1265.54726,2022-01-06 06:00:00
1641452400000,43102.28,43275.8,42987.73,43245.25,1176.41332,2022-01-06 07:00:00
1641456000000,43245.26,43273.87,42900.0,43055.41,1527.52833,2022-01-06 08:00:00
1641459600000,43055.42,43089.86,42430.58,42597.87,2907.67194,2022-01-06 09:00:00
1641463200000,42597.87,42960.0,42568.22,42878.88,1969.46675,2022-01-06 10:00:00
1641466800000,42878.87,42974.21,42677.28,42878.34,1347.12718,2022-01-06 11:00:00
