date,open,high,low,close,volume
2020-01-02,13233.709961,13425.030273,13225.160156,13385.929688,75341400.0
2020-01-03,13266.389648,13282.740234,13120.719727,13219.139648,80793400.0
2020-01-06,13085.490234,13143.110352,12948.169922,13126.990234,71778600.0
2020-01-07,13199.589844,13283.879883,13166.400391,13226.830078,78282300.0
2020-01-08,13140.490234,13334.040039,13106.269531,13320.179688,88178800.0
2020-01-09,13474.759766,13523.339844,13456.780273,13495.05957,86965600.0
2020-01-10,13533.459961,13548.200195,13483.30957,13483.30957,77941000.0
2020-01-13,13521.860352,13529.209961,13404.719727,13451.519531,67208300.0
2020-01-14,13439.200195,13487.900391,13362.200195,13456.490234,74555400.0
2020-01-15,13444.950195,13458.910156,13388.480469,13432.299805,72046400.0
2020-01-16,13463.459961,13492.740234,13382.980469,13429.429688,39611800.0
2020-01-17,13513.480469,13557.780273,13497.299805,13526.129883,86342800.0
2020-01-20,13503.830078,13550.830078,13487.209961,13548.94043,52882400.0
2020-01-21,13456.900391,13560.679688,13443.25,13555.870117,64630900.0
2020-01-22,13601.650391,13640.05957,13498.030273,13515.75,73130700.0
2020-01-23,13455.900391,13486.139648,13382.230469,13388.419922,90749900.0
2020-01-24,13512.839844,13604.849609,13510.790039,13576.679688,87986400.0
2020-01-27,13374.990234,13399.419922,13195.280273,13204.769531,101409200.0
2020-01-28,13274.009766,13327.120117,13163.360352,13323.69043,91825300.0
2020-01-29,13316.419922,13371.299805,13296.030273,13345.0,67876800.0
2020-01-30,13186.490234,13262.179688,13118.969727,13157.120117,100706100.0
2020-01-31,13196.799805,13208.469727,12973.700195,12981.969727,106903800.0
2020-02-03,13033.169922,13077.570312,12987.530273,13045.19043,81389100.0
2020-02-04,13135.610352,13282.629883,13131.070312,13281.740234,80887400.0
2020-02-05,13224.269531,13488.580078,13223.139648,13478.330078,108453900.0
2020-02-06,13570.330078,13606.969727,13533.660156,13574.820312,114567900.0
2020-02-07,13530.769531,13551.030273,13463.980469,13513.80957,87036900.0
2020-02-10,13476.0,13501.740234,13445.410156,13494.030273,60456500.0
2020-02-11,13604.740234,13668.429688,13557.959961,13627.839844,104753500.0
2020-02-12,13671.150391,13758.700195,13658.150391,13749.780273,86733300.0
2020-02-13,13695.929688,13745.429688,13576.959961,13745.429688,92087000.0
2020-02-14,13756.469727,13788.509766,13728.120117,13744.209961,66314900.0
2020-02-17,13770.669922,13795.240234,13754.040039,13783.889648,57400100.0
2020-02-18,13668.94043,13731.389648,13660.450195,13681.19043,82088700.0
2020-02-19,13751.049805,13789.0,13710.780273,13789.0,90192900.0
2020-02-20,13774.44043,13788.410156,13664.0,13664.0,86435200.0
2020-02-21,13609.94043,13689.230469,13500.5,13579.330078,108765400.0
2020-02-24,13231.379883,13236.580078,12982.139648,13035.240234,165148900.0
2020-02-25,13132.040039,13132.040039,12778.660156,12790.490234,129552500.0
2020-02-26,12682.160156,12849.169922,12368.049805,12774.879883,163618900.0
2020-02-27,12526.599609,12593.620117,12211.629883,12367.459961,191240900.0
2020-02-28,11891.870117,12008.589844,11724.120117,11890.349609,274623700.0
2020-03-02,12030.269531,12121.599609,11624.629883,11857.870117,207214100.0
2020-03-03,12013.05957,12272.990234,11906.820312,11985.389648,195936600.0
2020-03-04,11992.589844,12199.820312,11929.240234,12127.69043,147845700.0
2020-03-05,12191.410156,12207.769531,11844.879883,11944.719727,148086000.0
2020-03-06,11694.55957,11769.849609,11447.200195,11541.870117,195038500.0
2020-03-09,10690.080078,10995.219727,10556.639648,10625.019531,305324300.0
2020-03-10,10724.980469,11032.290039,10423.900391,10475.490234,267400800.0
2020-03-11,10601.849609,10761.429688,10390.509766,10438.679688,216708900.0
2020-03-12,9863.990234,9932.55957,9139.120117,9161.129883,390477000.0
2020-03-13,9480.780273,9985.740234,9064.679688,9232.080078,325900900.0
2020-03-16,8728.480469,8967.110352,8255.650391,8742.25,302202400.0
2020-03-17,9141.169922,9145.929688,8423.55957,8939.099609,220092600.0
2020-03-18,8613.349609,8670.410156,8400.179688,8441.709961,207558900.0
2020-03-19,8495.94043,8668.480469,8257.530273,8610.429688,205539300.0
2020-03-20,9080.490234,9201.070312,8838.299805,8928.950195,286466000.0
2020-03-23,8536.330078,9071.139648,8480.280273,8741.150391,197208600.0
2020-03-24,9242.05957,9700.570312,9102.169922,9700.570312,203840700.0
2020-03-25,9987.370117,10137.620117,9460.910156,9874.259766,204692500.0
2020-03-26,9621.240234,10000.959961,9526.169922,10000.959961,160450300.0
2020-03-27,9793.5,9886.179688,9541.830078,9632.519531,156138300.0
2020-03-30,9725.879883,9817.509766,9453.790039,9815.969727,131120200.0
2020-03-31,9970.790039,10096.419922,9703.879883,9935.839844,151505700.0
2020-04-01,9610.669922,9686.459961,9498.049805,9544.75,132862200.0
2020-04-02,9587.450195,9650.269531,9337.019531,9570.820312,144225800.0
2020-04-03,9535.269531,9626.719727,9470.200195,9525.769531,116245300.0
2020-04-06,9889.030273,10097.30957,9841.490234,10075.169922,126692200.0
2020-04-07,10464.110352,10590.410156,10225.019531,10356.700195,149513100.0
2020-04-08,10301.55957,10340.790039,10198.219727,10332.889648,102430700.0
2020-04-09,10490.650391,10649.790039,10311.700195,10564.740234,134477100.0
2020-04-14,10733.969727,10820.169922,10658.959961,10696.55957,106043700.0
2020-04-15,10678.19043,10678.19043,10243.110352,10279.759766,133088500.0
2020-04-16,10420.259766,10438.370117,10236.240234,10301.540039,106131500.0
2020-04-17,10607.349609,10756.780273,10542.709961,10625.780273,143341400.0
2020-04-20,10704.349609,10707.30957,10444.549805,10675.900391,103611100.0
2020-04-21,10519.44043,10524.730469,10249.849609,10249.849609,121194400.0
2020-04-22,10370.25,10425.019531,10321.200195,10415.030273,92389500.0
2020-04-23,10437.379883,10608.389648,10325.110352,10513.790039,97907700.0
2020-04-24,10299.30957,10486.469727,10299.30957,10336.089844,120035000.0
2020-04-27,10551.070312,10660.360352,10523.099609,10659.990234,122476600.0
2020-04-28,10658.469727,10897.820312,10651.580078,10795.629883,146549900.0
2020-04-29,10812.740234,11125.349609,10789.519531,11107.740234,145350700.0
2020-04-30,11195.209961,11235.570312,10839.299805,10861.639648,162733400.0
2020-05-04,10543.360352,10578.429688,10426.05957,10466.799805,140425100.0
2020-05-05,10627.070312,10736.950195,10518.94043,10729.459961,103766700.0
